Node1,Node2
200,37
144,62
456,66
31,279
160,271
195,173
181,240
383,443
487,383
23,497
395,458
377,445
340,229
426,310
368,266
254,243
217,489
228,35
290,344
15,260
257,333
459,86
259,93
330,372
65,472
472,490
20,303
314,421
56,416
139,389
106,120
165,91
147,438
372,35
148,57
117,419
436,93
383,4
213,229
105,210
394,88
51,417
235,75
292,263
83,426
357,398
236,339
176,351
39,413
12,365
259,145
438,265
66,28
212,155
352,89
388,348
159,148
138,14
63,167
408,499
185,33
14,312
424,157
57,408
53,160
355,355
230,363
183,96
482,328
129,129
374,427
124,460
486,283
66,175
342,398
170,375
39,184
271,53
376,55
63,119
143,131
493,403
189,61
14,346
75,155
13,136
306,306
178,442
52,276
267,160
125,25
391,492
2,72
327,411
222,13
240,123
241,325
363,302
147,130
56,149
405,254
172,412
262,79
258,321
175,197
225,328
126,345
327,188
407,317
469,477
349,248
49,171
204,260
186,383
422,249
186,417
92,68
330,33
0,85
427,97
214,50
488,174
36,16
474,123
431,452
467,15
445,394
460,221
366,347
388,142
73,468
382,499
279,224
386,369
314,430
328,324
172,137
454,351
19,327
95,64
311,118
118,397
127,422
253,83
393,263
115,0
204,484
359,149
332,247
201,457
167,196
380,362
309,137
43,195
499,461
203,440
295,446
102,141
438,162
144,375
219,46
30,342
307,451
392,358
398,283
230,413
261,314
43,350
356,364
11,190
47,287
403,199
317,113
121,170
119,338
115,163
335,216
52,122
64,274
289,85
204,325
421,357
419,238
35,46
490,396
108,166
87,277
493,392
486,84
332,277
312,264
462,462
39,423
12,12
389,215
249,249
378,469
42,42
297,248
389,324
251,436
134,495
245,100
54,393
406,318
412,172
444,69
414,258
158,242
28,45
50,358
145,409
301,134
179,298
137,483
192,109
402,189
373,230
401,163
180,129
182,34
300,496
119,102
237,440
415,339
191,228
405,411
321,193
267,29
108,89
202,286
66,284
28,371
33,191
285,5
453,281
125,25
136,100
181,240
323,227
28,261
467,105
107,104
498,278
193,427
338,128
145,358
308,147
313,27
237,299
309,309
390,330
311,245
231,48
417,164
396,52
173,315
78,93
476,339
356,257
400,407
267,117
3,293
187,146
415,88
122,58
382,114
258,351
51,414
202,219
218,370
166,458
16,180
452,343
340,478
292,292
286,208
71,71
117,418
493,220
114,80
183,401
101,282
116,116
92,390
291,70
235,233
95,222
345,345
8,87
354,293
300,336
305,348
98,243
221,460
154,339
139,124
347,41
172,286
7,142
71,254
421,456
450,276
425,425
75,245
148,359
481,90
301,252
361,228
365,60
152,485
275,352
299,91
227,488
213,102
99,484
412,88
84,84
416,112
323,100
375,161
20,188
61,156
210,157
289,326
333,326
466,344
431,234
131,354
433,463
19,29
215,298
233,348
223,58
234,89
284,495
471,157
140,177
463,203
320,206
101,169
107,4
96,340
236,61
287,94
337,48
90,27
380,153
463,403
11,222
13,136
374,266
307,347
98,382
447,68
422,446
387,41
294,388
289,333
497,290
135,194
400,9
407,407
85,420
331,230
260,15
34,34
415,249
54,318
122,415
251,179
184,372
239,248
498,246
6,21
367,374
331,189
484,437
491,357
138,282
275,220
68,182
78,357
299,270
166,359
385,477
152,242
42,409
91,368
81,206
59,390
214,56
12,72
71,162
87,488
264,100
22,424
125,174
482,47
76,127
406,280
106,467
4,457
52,472
233,429
62,54
88,326
198,21
51,213
256,77
244,373
46,308
140,1
196,360
422,83
60,170
191,87
430,288
470,494
320,2
227,183
59,130
234,491
145,492
61,76
60,97
455,204
214,182
353,353
274,80
24,94
40,378
72,294
430,367
410,270
36,287
168,439
2,180
244,74
19,8
338,475
30,276
229,257
155,473
451,38
25,238
220,444
418,269
446,356
395,149
426,386
30,201
495,414
296,369
302,38
470,453
464,51
448,236
44,481
425,377
469,469
128,473
125,373
276,392
311,371
462,197
277,464
439,439
256,268
381,118
281,99
471,225
387,334
40,480
104,179
416,80
313,420
477,7
466,114
480,478
381,381
468,194
397,343
433,163
417,301
107,306
473,165
312,250
376,480
489,0
418,106
316,362
432,272
207,454
3,7
176,433
73,212
119,343
24,320
443,151
111,285
139,470
452,447
133,133
334,23
32,350
131,207
170,74
396,189
401,251
392,220
8,405
79,333
177,213
159,133
205,18
267,437
455,98
259,487
329,64
121,280
265,235
192,361
24,395
376,369
18,58
433,364
209,200
53,76
461,461
336,335
76,253
498,241
175,232
321,325
38,115
175,154
211,492
95,262
1,5
346,225
60,475
123,436
21,210
441,156
140,286
378,418
297,62
255,366
264,307
212,81
290,302
150,2
198,159
359,27
294,444
434,140
167,136
434,45
456,45
246,237
184,112
474,350
256,7
108,431
250,405
399,332
340,20
386,376
361,161
199,497
26,134
67,67
111,453
37,303
121,153
115,212
346,424
318,253
79,262
277,310
250,161
98,126
332,331
182,181
378,207
283,68
33,64
65,239
487,369
195,432
21,106
132,174
194,253
314,35
316,304
462,479
453,338
32,270
256,8
205,144
488,426
408,65
438,335
228,193
252,207
393,186
265,447
63,494
435,254
467,281
135,242
200,25
114,75
226,257
361,473
259,232
159,150
241,480
295,368
43,466
142,485
327,372
54,217
39,134
32,496
475,229
203,165
304,450
31,280
342,239
128,77
251,211
6,419
270,190
223,23
442,205
440,260
146,255
178,402
211,316
345,74
193,268
279,13
50,448
300,389
81,409
164,487
16,198
103,187
135,185
105,296
478,246
447,235
104,354
370,18
215,177
353,161
226,40
315,226
463,384
110,62
218,402
289,374
221,177
197,387
315,420
194,460
421,55
218,198
476,130
158,89
458,365
214,127
322,322
481,481
138,79
173,133
165,336
239,94
74,102
163,491
242,337
261,450
309,103
154,147
99,121
202,268
364,350
122,476
325,281
272,272
77,403
6,308
370,271
47,9
153,55
90,484
32,252
410,458
371,206
432,127
208,308
152,334
42,449
498,290
450,38
284,485
476,301
50,231
432,190
398,132
210,40
57,395
176,227
341,183
166,365
113,304
265,335
37,142
148,94
1,394
416,58
442,442
132,303
379,31
459,428
247,305
428,219
130,428
437,399
146,185
454,358
15,342
410,83
101,313
243,448
288,384
72,141
455,305
84,343
278,160
219,77
279,334
244,109
464,143
360,360
192,274
296,117
139,337
310,319
296,413
465,278
479,274
434,292
319,205
457,455
427,493
285,456
101,178
377,470
131,245
441,443
110,4
199,439
217,199
366,9
90,158
362,322
16,85
320,287
156,26
413,1
461,284
436,129
312,434
216,23
497,444
380,224
390,310
341,244
452,423
349,283
317,354
120,209
295,3
391,262
324,225
410,400
215,14
5,171
454,111
233,305
486,479
37,223
20,298
208,495
471,141
349,341
164,143
449,216
56,201
95,375
43,385
82,477
331,457
17,17
187,344
317,162
246,393
396,490
59,263
448,46
379,255
103,174
169,485
266,483
197,132
282,78
391,153
209,209
412,81
180,367
222,152
474,195
319,437
223,96
171,263
318,70
282,304
6,468
126,126
491,243
313,297
113,19
423,431
120,73
168,323
315,22
328,5
349,69
116,247
144,63
269,300
185,178
449,303
191,411
269,82
471,247
377,472
69,17
179,232
294,169
109,112
363,3
482,428
336,155
406,381
402,236
321,112
26,441
69,401
268,360
271,45
78,216
273,273
435,53
108,319
59,492
341,171
424,384
226,150
275,275
173,459
465,11
224,411
86,57
113,355
409,464
29,34
288,168
22,92
429,429
479,352
167,387
44,363
9,109
379,91
368,36
110,99
420,386
330,211
135,238
237,362
329,465
388,169
429,443
489,441
151,366
399,110
0,217
440,293
307,181
248,86
299,311
47,137
24,162
264,446
252,154
451,150
31,143
326,291
67,423
337,394
116,496
149,272
17,206
435,397
93,297
425,371
353,41
323,486
449,11
105,27
306,186
107,70
201,97
238,288
430,367
408,48
278,329
269,218
146,445
298,261
49,151
22,234
291,356
400,385
295,188
466,196
316,67
48,399
208,499
141,404
324,231
435,280
70,30
380,373
104,82
103,49
475,494
273,352
192,36
158,188
124,459
419,92
266,128
224,55
164,348
364,465
347,49
344,196
86,232
97,404
184,118
496,382
451,65
156,82
346,285
384,203
168,482
200,255
351,250
355,41
10,10
10,10
291,138
190,124
176,489
231,404
478,187
329,44
494,123
157,385
302,273
241,404
468,73
414,293
258,80
151,322
240,120
26,202
483,483
445,96
221,391
397,370
29,18
379,44
406,474
111,490

